meeting_id,meeting_title,Jira_id,jira_type,priority,owner,task,due_date,status,dedup_key
M105,release,SCRUM-121,Task,Medium,Amy,Complete API,Friday,Task Jira Ticket Created,m105|amy|release
M105,release,SCRUM-122,Task,Medium,Amy,Complete API,Friday,Task Jira Ticket Created,m105|amy|release
M105,release,SCRUM-123,Bug,Medium,Bhaskar,Fix dashboard bug,Tomorrow,Bug Jira Ticket Created,m105|bhaskar|bug
M105,release,SCRUM-124,Story,Medium,Rupam,Build analytics feature,Backlog,Story Jira ticket Created,m105|rupam|story
M107,Sprint Planning,SCRUM-125,,,John,Complete API,Friday, Jira Ticket Created,m107|john|sprint planning
M107,Sprint Planning,SCRUM-126,,,Mary,Fix dashboard bug,Tomorrow, Jira Ticket Created,m107|mary|sprint planning
M108,Product Launch Review,SCRUM-127,Task,High,Sarah,Finalize landing page,Thursday,Task Jira Ticket Created,m108|sarah|product launch review
M108,Product Launch Review,SCRUM-128,Task,High,David,Complete payment gateway testing,Tomorrow,Task Jira Ticket Created,m108|david|product launch review
M200,Critical Release Readiness,SCRUM-129,Task,High,John,Complete API deployment,Friday,Task Jira Ticket Created,m200|john|critical release readiness
M200,Critical Release Readiness,SCRUM-131,Task,High,John,Complete API deployment,Friday,Task Jira Ticket Created,m200|john|critical release readiness
M200,Critical Release Readiness,SCRUM-132,Bug,High,Priya,Fix payment bug,Immediately,Bug Jira Ticket Created,m200|priya|bug
M200,Critical Release Readiness,SCRUM-133,Task,Low,Sarah,Send release readiness email,Today,Task Jira Ticket Created,m200|sarah|critical release readiness
M200,Critical Release Readiness,SCRUM-134,Task,Low,Mary,Prepare rollback document,Tomorrow,Task Jira Ticket Created,m200|mary|critical release readiness
M200,Critical Release Readiness,SCRUM-135,Task,Medium,Rahul,Follow up with QA team,In two days,Task Jira Ticket Created,m200|rahul|critical release readiness
M302,Sprint Planning,SCRUM-136,Task,High,John,Complete API module,Friday,Task Jira Ticket Created,m302|john|sprint planning
M302,Sprint Planning,SCRUM-137,Task,Medium,Mary,Build dashboard,Next Tuesday,Task Jira Ticket Created,m302|mary|sprint planning
M302,Sprint Planning,SCRUM-138,Task,Medium,Rahul,Follow up with QA,Tomorrow,Task Jira Ticket Created,m302|rahul|sprint planning
M303,Bug Triage,SCRUM-139,Bug,High,Priya,Fix login bug,Immediately,Bug Jira Ticket Created,m303|priya|bug
M303,Bug Triage,SCRUM-140,Task,High,David,Investigate timeout issue,Today,Task Jira Ticket Created,m303|david|bug triage
M304,Steering Committee,SCRUM-141,Task,Medium,John,Start vendor onboarding,,Task Jira Ticket Created,m304|john|steering committee
M304,Steering Committee,SCRUM-142,Task,Low,Sarah,Send executive summary email,,Task Jira Ticket Created,m304|sarah|steering committee
M305,Incident Response,SCRUM-143,Task,High,Priya,Restore Production API service,Immediately,Task Jira Ticket Created,m305|priya|incident response
M305,Incident Response,SCRUM-144,Task,High,John,Notify all customers about API downtime,Immediately,Task Jira Ticket Created,m305|john|incident response
M307,Hiring Review,SCRUM-145,Task,Medium,Sarah,Schedule interviews,Tomorrow,Task Jira Ticket Created,m307|sarah|hiring review
M307,Hiring Review,SCRUM-146,Task,Medium,John,Finalize job description,Today,Task Jira Ticket Created,m307|john|hiring review
M308,Finance Approval,SCRUM-147,Task,Medium,Mary,Follow up with finance team,Tomorrow,Task Jira Ticket Created,m308|mary|finance approval
M308,Finance Approval,SCRUM-148,Task,Medium,Mary,Follow up with finance team,Tomorrow,Task Jira Ticket Created,m308|mary|finance approval
M308,Finance Approval,SCRUM-149,Task,Medium,Mary,Follow up with finance team,Tomorrow,Task Jira Ticket Created,m308|mary|finance approval
M308,Finance Approval,SCRUM-150,Task,Medium,Team,Plan for potential migration delay,ASAP,Task Jira Ticket Created,m308|team|finance approval
