meeting_id,meeting_title,meeting_date,source,summary,action_count,risk_count,decision_count,status,processed_at
M108,Product Launch Review,2026-04-29,Make.com,,,,,,2026-04-29T15:54:31.113Z
M108,Product Launch Review,2026-04-29,Make.com,,,,,,2026-04-29T16:00:05.313Z
M108,Product Launch Review,2026-04-29,Make.com,"The team confirmed the launch timeline for next Monday, contingent upon the completion of key tasks, including Sarah finalizing the landing page by Thursday and David completing payment gateway testing by tomorrow, while awaiting approval of the marketing campaign budget.",2,4,2,Processed,2026-04-29T16:04:28.016Z
M200,Critical Release Readiness,2026-04-29,Make.com,"The meeting resulted in the assignment of key action items to team members, including completion of API deployment, bug fixes, and release preparation, with a go-live plan approved for next Monday, contingent upon budget approval and timely resolution of outstanding issues.",5,3,6,Processed,2026-04-29T16:52:35.134Z
M200,Critical Release Readiness,2026-04-29,Make.com,"The meeting resulted in the assignment of key tasks and deadlines to team members, including API deployment, bug fixes, and release preparations, with a planned go-live date of next Monday, pending budget approval and resolution of a critical payment bug.",5,3,6,Processed,2026-04-29T17:07:02.752Z
M302,Sprint Planning,2026-04-29,Make.com,"The team held a meeting where they reviewed and approved the sprint backlog, assigned tasks to team members, including John to complete the API module by Friday and Mary to build a dashboard by next Tuesday, and designated Rahul to follow up with QA the next day.",3,4,4,Processed,2026-04-29T17:10:20.856Z
M303,Bug Triage,2026-04-29,Make.com,"The meeting concluded with action items assigned to Priya to resolve the login bug promptly and to David to investigate the timeout issue, both of which are urgent due to a rapid increase in customer complaints.",2,3,2,Processed,2026-04-29T17:11:49.859Z
M304,Steering Committee,2026-04-29,Make.com,"The board meeting culminated in the approval of the CRM migration budget, with action items assigned to John to initiate vendor onboarding and to Sarah to distribute an executive summary via email by the end of the day.",2,4,3,Processed,2026-04-29T17:13:50.853Z
M305,Incident Response,2026-04-29,Make.com,"The meeting concluded with urgent action items, including Priya restoring the Production API to service immediately and John notifying all customers, due to the high revenue impact risk associated with the current downtime.",2,3,2,Processed,2026-04-29T17:19:30.892Z
M306,Client Delivery Review,2026-04-29,Make.com,"The meeting concluded with action items for Rahul to deliver the dashboard by Thursday and Anita to send a revised timeline to the client, with a noted risk of delay if the testing schedule is not maintained.",3,3,2,Processed,2026-04-29T17:20:01.073Z
M307,Hiring Review,2026-04-29,Make.com,"The meeting concluded with action items for Sarah to schedule interviews for the next day and for John to finalize the job description by the end of the day, following the team's approval to move forward with hiring two engineers.",2,5,4,Processed,2026-04-29T17:22:39.439Z
M308,Finance Approval,2026-04-29,Make.com,"The cloud migration project's timeline may be delayed by two weeks due to a pending budget approval, and Mary is tasked with following up with the finance team tomorrow to expedite the process.",1,3,2,Processed,2026-04-29T17:24:24.204Z
M308,Finance Approval,2026-04-29,Make.com,"The cloud migration project is currently on hold pending budget approval, which Mary will follow up on with the finance team tomorrow, and is anticipated to result in a potential two-week delay.",1,2,2,Processed,2026-04-29T17:26:49.219Z
M308,Finance Approval,2026-04-29,Make.com,"The meeting concluded with a pending budget for cloud migration, which Mary will follow up on with the finance team, potentially resulting in a two-week delay in the migration timeline.",2,3,2,Processed,2026-04-29T17:27:19.224Z
